tid,sid,strategy_name,trader_code,holding_days,last_check,open_price,open_date,long_short,shares,close_date,close_price,pnl,tax,fee
91320,5871,ITFollow,001,0,2022-12-16,,,,,,,,,
91321,5876,ITFollow,001,0,2022-12-16,,,,,,,,,
91322,5880,ITFollow,001,0,2022-12-16,,,,,,,,,
91323,5906,ITFollow,001,0,2022-12-16,,,,,,,,,
91324,5907,ITFollow,001,0,2022-12-16,,,,,,,,,
91325,6005,ITFollow,001,0,2022-12-16,,,,,,,,,
91326,6024,ITFollow,001,0,2022-12-16,,,,,,,,,
91327,6108,ITFollow,001,0,2022-12-16,,,,,,,,,
91328,6112,ITFollow,001,0,2022-12-16,,,,,,,,,
91329,6115,ITFollow,001,0,2022-12-16,,,,,,,,,
91330,6116,ITFollow,001,0,2022-12-16,,,,,,,,,
91331,6117,ITFollow,001,0,2022-12-16,,,,,,,,,
91332,6120,ITFollow,001,0,2022-12-16,,,,,,,,,
91333,6128,ITFollow,001,0,2022-12-16,,,,,,,,,
91334,6133,ITFollow,001,0,2022-12-16,,,,,,,,,
91335,6136,ITFollow,001,0,2022-12-16,,,,,,,,,
91336,6139,ITFollow,001,0,2022-12-16,,,,,,,,,
91337,6141,ITFollow,001,0,2022-12-16,,,,,,,,,
91338,6142,ITFollow,001,0,2022-12-16,,,,,,,,,
91339,6152,ITFollow,001,0,2022-12-16,,,,,,,,,
91340,6153,ITFollow,001,0,2022-12-16,,,,,,,,,
91341,6155,ITFollow,001,0,2022-12-16,,,,,,,,,
91342,6164,ITFollow,001,0,2022-12-16,,,,,,,,,
91343,6165,ITFollow,001,0,2022-12-16,,,,,,,,,
91344,6166,ITFollow,001,0,2022-12-16,,,,,,,,,
91345,6168,ITFollow,001,0,2022-12-16,,,,,,,,,
91346,6176,ITFollow,001,0,2022-12-16,,,,,,,,,
91347,6177,ITFollow,001,0,2022-12-16,,,,,,,,,
91348,6183,ITFollow,001,0,2022-12-16,,,,,,,,,
91349,6184,ITFollow,001,0,2022-12-16,,,,,,,,,
91350,6189,ITFollow,001,0,2022-12-16,,,,,,,,,
91351,6191,ITFollow,001,0,2022-12-16,,,,,,,,,
91352,6192,ITFollow,001,0,2022-12-16,,,,,,,,,
91353,6196,ITFollow,001,0,2022-12-16,,,,,,,,,
91354,6197,ITFollow,001,0,2022-12-16,,,,,,,,,
91355,6201,ITFollow,001,0,2022-12-16,,,,,,,,,
91356,6202,ITFollow,001,0,2022-12-16,,,,,,,,,
91357,6205,ITFollow,001,30,2022-12-16,23.236339324778996,2014-04-10,long,1.0,2014-05-22,24.33535537392395,4.24,73.01,40.67
91358,6205,ITFollow,001,30,2022-12-16,81.04706814580032,2022-02-09,long,1.0,2022-03-23,83.37099841521395,2.39,250.11,140.58
91359,6205,ITFollow,001,30,2022-12-16,78.8,2022-08-29,long,1.0,2022-10-11,77.7,-1.86,233.1,133.81
91360,6205,ITFollow,001,27,2022-12-16,82.0,2022-11-10,long,1.0,,,-10.31,,
91361,6206,ITFollow,001,0,2022-12-16,,,,,,,,,
91362,6209,ITFollow,001,0,2022-12-16,,,,,,,,,
91363,6213,ITFollow,001,0,2022-12-16,,,,,,,,,
91364,6214,ITFollow,001,0,2022-12-16,,,,,,,,,
